Transaction Date,Description,Amount
1/29/2024,WAL-MART #3740,-58.44
1/29/2024,WAL-MART #3740,-3.12
1/28/2024,BURGER KING #12926 Q07,-11.33
1/26/2024,HERO'S PIZZARIA,-12.64
1/25/2024,SPORT CLIPS - CO118 - TOW,-36
1/26/2024,SQ *DUELING LAND,-11.16
1/25/2024,AMZN Mktp US*R07WD4C91,-13.14
1/24/2024,CU LANDMARK FAMILY CARE,-10
1/24/2024,WALGREENS #7021,-14.56
1/21/2024,WAL-MART #3740,-53.18
1/21/2024,WAL-MART #3740,-0.98
1/20/2024,CIRCLE K # 41128,-33.79
1/21/2024,FOREIGN TRANSACTION FEE,-80.97
1/20/2024,ACE HARDWARE BUCKLEY SQ,-3.42
1/20/2024,LS TOTAL ESCAPE GAMES,-6.77
1/18/2024,DENHAC,-45
1/15/2024,Spotify USA,-11.87
1/14/2024,WAL-MART #3566,-26.87
1/14/2024,WAL-MART #3740,-114.91
1/14/2024,GEICO  *AUTO,-126.26
1/13/2024,CIRCLE K # 44052,-2.69
1/13/2024,CIRCLE K # 44052,-30.39
1/13/2024,LOWES #01730*,-8.38
1/12/2024,SQ *DUELING LAND,-25
1/12/2024,AMZN Mktp US*RT09V9L41,-14.58
1/8/2024,LOWES #01730*,-8.38
1/8/2024,EB COCKTAILS AND CAND,-124.56
1/8/2024,STEAMGAMES.COM 4259522985,-10
1/7/2024,WAL-MART #3740,-31.69
1/5/2024,STEAMGAMES.COM 4259522985,-9.99
1/3/2024,GameStop,-25.59
1/2/2024,WAL-MART #3740,-47.65
12/31/2023,DUTCH WONDERLAND,-21.18
12/31/2023,DUTCH WONDERLAND,-20
12/30/2023,ZSK*CE PLAYERS FUN POS,-7
12/30/2023,ZSK*CE PLAYERS FUN POS,-7
